PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2018,7,X,10.3037,X,X,X,X,X,X,1588,55,15412
States,New York,2018,8,X,6.97767,X,X,X,X,X,X,875,55,12540
States,New York,2018,9,X,5.04069,X,X,X,X,X,X,576,54,11427
States,New York,2018,10,X,3.71947,X,X,X,X,X,X,402,53,10808
States,New York,2018,11,X,3.37375,X,X,X,X,X,X,345,53,10226
States,New York,2018,12,X,2.35595,X,X,X,X,X,X,249,52,10569
States,New York,2018,13,X,2.59165,X,X,X,X,X,X,275,48,10611
States,New York,2018,14,X,2.34435,X,X,X,X,X,X,212,50,9043
States,New York,2018,15,X,2.19619,X,X,X,X,X,X,240,51,10928
States,New York,2018,16,X,2.22306,X,X,X,X,X,X,237,48,10661
States,New York,2018,17,X,1.59244,X,X,X,X,X,X,177,48,11115
States,New York,2018,18,X,2.20051,X,X,X,X,X,X,232,46,10543
States,New York,2018,19,X,1.50123,X,X,X,X,X,X,165,44,10991
States,New York,2018,20,X,1.42733,X,X,X,X,X,X,131,41,9178
States,New York,2018,21,X,1.24434,X,X,X,X,X,X,99,40,7956
States,New York,2018,22,X,1.40187,X,X,X,X,X,X,99,38,7062
States,New York,2018,23,X,0.0269724,X,X,X,X,X,X,2,39,7415
States,New York,2018,24,X,0.0407609,X,X,X,X,X,X,3,37,7360
States,New York,2018,25,X,0,X,X,X,X,X,X,0,37,7529
States,New York,2018,26,X,0.0150943,X,X,X,X,X,X,1,36,6625
States,New York,2018,27,X,0.176025,X,X,X,X,X,X,10,35,5681
States,New York,2018,28,X,0,X,X,X,X,X,X,0,36,7055
States,New York,2018,29,X,0,X,X,X,X,X,X,0,35,6891
States,New York,2018,30,X,0.0135135,X,X,X,X,X,X,1,34,7400
States,New York,2018,31,X,0.0136836,X,X,X,X,X,X,1,35,7308
States,New York,2018,32,X,0,X,X,X,X,X,X,0,35,7789
States,New York,2018,33,X,0,X,X,X,X,X,X,0,33,8346
States,New York,2018,34,X,0,X,X,X,X,X,X,0,34,8892
States,New York,2018,35,X,0,X,X,X,X,X,X,0,33,9869
States,New York,2018,36,X,0.0857633,X,X,X,X,X,X,2,13,2332
States,New York,2018,37,X,0.289645,X,X,X,X,X,X,8,14,2762
States,New York,2018,38,X,0.358657,X,X,X,X,X,X,11,14,3067
States,New York,2018,39,X,0.228311,X,X,X,X,X,X,26,35,11388
States,New York,2018,40,X,0.964829,X,X,X,X,X,X,623,132,64571
States,New York,2018,41,X,0.981513,X,X,X,X,X,X,661,134,67345
States,New York,2018,42,X,1.1094,X,X,X,X,X,X,706,133,63638
States,New York,2018,43,X,1.13599,X,X,X,X,X,X,700,134,61620
States,New York,2018,44,X,1.27149,X,X,X,X,X,X,786,134,61817
States,New York,2018,45,X,1.09671,X,X,X,X,X,X,710,134,64739
States,New York,2018,46,X,1.13885,X,X,X,X,X,X,657,134,57690
States,New York,2018,47,X,1.34073,X,X,X,X,X,X,742,135,55343
States,New York,2018,48,X,1.31868,X,X,X,X,X,X,828,135,62790
States,New York,2018,49,X,1.46959,X,X,X,X,X,X,892,134,60697
States,New York,2018,50,X,1.95869,X,X,X,X,X,X,1172,132,59836
States,New York,2018,51,X,2.41959,X,X,X,X,X,X,1424,132,58853
States,New York,2018,52,X,3.02337,X,X,X,X,X,X,1757,133,58114
States,New York,2019,1,X,2.79803,X,X,X,X,X,X,1727,134,61722
States,New York,2019,2,X,2.54146,X,X,X,X,X,X,1514,131,59572
States,New York,2019,3,X,3.09061,X,X,X,X,X,X,1820,134,58888
States,New York,2019,4,X,3.47772,X,X,X,X,X,X,2085,135,59953
States,New York,2019,5,X,3.43975,X,X,X,X,X,X,2157,134,62708
States,New York,2019,6,X,3.87513,X,X,X,X,X,X,2675,133,69030
States,New York,2019,7,X,4.5487,X,X,X,X,X,X,2997,130,65887
States,New York,2019,8,X,4.08581,X,X,X,X,X,X,2295,126,56170
